country	2009	2010	2011	2012	2013	2014	2015	2016	2017	2018	2019	2020
GDEATHRT_THSP,BY	14.1	14.5	14.3	13.4	13	12.8	12.6	12.6	12.6	12.7	12.8	: 
GDEATHRT_THSP,CH	8.1	8	7.8 b	8	8	7.8	8.2	7.8	7.9	7.9	7.9	: 
GDEATHRT_THSP,CY	6.4	6.2	6.5	6.6	6	6.4	6.9	6.4	7	6.6	6.8 p	: 
GDEATHRT_THSP,CZ	10.3	10.2	10.2	10.3	10	10	10.5	10.2	10.5	10.6	10.5	: 
GDEATHRT_THSP,DE	10.4	10.5	10.6 b	10.8	11	10.7	11.3	11.1	11.3	11.5	11.3 p	: 
GDEATHRT_THSP,DK	9.9	9.8	9.4	9.4	9	9.1	9.2	9.2	9.2	9.5	9.3	: 
GDEATHRT_THSP,EA18	9.4	9.4	9.4 b	9.7 b	10	9.5 b	10.0 b	9.8	10.1 b	10.1 ep	10.0 p	: 
GDEATHRT_THSP,EA19	9.4	9.4	9.4 b	9.7 b	10	9.5 b	10.1 b	9.8	10.1 b	10.1 ep	10.0 p	: 
GDEATHRT_THSP,EE	12.1	11.9	11.5	11.7	12	11.8	11.6 b	11.7	11.8	11.9	11.6	: 
GDEATHRT_THSP,EL	9.8	9.8	10	10.6	10	10.4	11.2	11	11.6	11.2	11.7 p	: 
GDEATHRT_THSP,ES	8.3	8.2	8.3	8.6	8	8.5	9.1	8.8	9.1	9.1	8.8 p	: 
GDEATHRT_THSP,EU27_2007	9.7	9.7 b	9.7 b	9.9 b	10	9.7 b	10.2 be	10	10.3 b	10.3 ep	10.2 p	: 
GDEATHRT_THSP,EU27_2020	9.9	9.9 b	9.8 b	10.1 b	10	9.9 b	10.4 b	10.2	10.5 b	10.5 ep	10.4 p	: 
GDEATHRT_THSP,EU28	9.8	9.7 b	9.7 b	9.9 b	10	9.7 b	10.3 be	10	10.3 b	10.3 ep	10.2 p	: 
GDEATHRT_THSP,FI	9.3	9.5	9.4	9.6	10	9.6	9.6	9.8	9.8	9.9	9.8	: 
GDEATHRT_THSP,FR	8.5	8.5	8.4	8.7	9	8.4 b	8.9	8.9	9.1	9.1 p	9.1 p	: 
GDEATHRT_THSP,FX	8.6	8.6	8.5	8.8	: 	: 	: 	: 	: 	: 	: 	: 
GDEATHRT_THSP,GE	10.6	10.7	11.1	: 	: 	11.9 be	13.2 e	13.6	12.8	12.5	12.5	: 
